open_time;close;status;close_shift_1;diff_shift_1;close_shift_2;diff_shift_2;close_shift_3;diff_shift_3;close_shift_4;diff_shift_4;close_shift_5;diff_shift_5;close_shift_6;diff_shift_6
2023-02-01 22:00:00;23714.5;SOBE_2.0;23732.66;0.08;24189.85;2.0;23950.55;1.0;23885.19;0.72;23848.6;0.57;23882.87;0.71
2023-02-02 18:00:00;24054.54;CAI_2.0;23802.57;-1.05;23872.75;-0.76;23455.65;-2.49;23556.13;-2.07;23488.94;-2.35;23552.89;-2.09
2023-02-05 11:00:00;23356.33;CAI_2.0;23170.56;-0.8;23167.62;-0.81;23163.45;-0.83;23096.16;-1.11;23075.54;-1.2;22851.48;-2.16
2023-02-09 00:00:00;22980.64;CAI_2.0;22948.13;-0.14;22806.76;-0.76;22518.44;-2.01;22568.57;-1.79;22603.08;-1.64;22719.25;-1.14
2023-02-09 13:00:00;22747.58;CAI_2.0;22694.29;-0.23;22610.94;-0.6;22511.8;-1.04;22537.33;-0.92;22514.75;-1.02;22032.71;-3.14
2023-02-09 14:00:00;22694.29;CAI_2.0;22610.94;-0.37;22511.8;-0.8;22537.33;-0.69;22514.75;-0.79;22032.71;-2.92;21994.21;-3.08
2023-02-09 15:00:00;22610.94;CAI_2.0;22511.8;-0.44;22537.33;-0.33;22514.75;-0.43;22032.71;-2.56;21994.21;-2.73;21856.3;-3.34
2023-02-09 16:00:00;22511.8;CAI_2.0;22537.33;0.11;22514.75;0.01;22032.71;-2.13;21994.21;-2.3;21856.3;-2.91;21767.53;-3.31
2023-02-09 17:00:00;22537.33;CAI_2.0;22514.75;-0.1;22032.71;-2.24;21994.21;-2.41;21856.3;-3.02;21767.53;-3.42;21796.35;-3.29
2023-02-09 18:00:00;22514.75;CAI_2.0;22032.71;-2.14;21994.21;-2.31;21856.3;-2.92;21767.53;-3.32;21796.35;-3.19;21824.09;-3.07
2023-02-14 08:00:00;21694.92;SOBE_2.0;21817.09;0.56;21809.49;0.53;21809.81;0.53;21859.32;0.76;21720.09;0.12;22247.39;2.55
2023-02-14 10:00:00;21809.49;SOBE_2.0;21809.81;0.0;21859.32;0.23;21720.09;-0.41;22247.39;2.01;22041.45;1.06;22008.36;0.91
2023-02-14 11:00:00;21809.81;SOBE_2.0;21859.32;0.23;21720.09;-0.41;22247.39;2.01;22041.45;1.06;22008.36;0.91;22050.16;1.1
2023-02-14 13:00:00;21720.09;SOBE_2.0;22247.39;2.43;22041.45;1.48;22008.36;1.33;22050.16;1.52;22114.15;1.81;22208.65;2.25
2023-02-15 06:00:00;22117.68;SOBE_2.0;22109.89;-0.04;22094.02;-0.11;22170.51;0.24;22234.96;0.53;22445.13;1.48;22772.21;2.96
2023-02-15 07:00:00;22109.89;SOBE_2.0;22094.02;-0.07;22170.51;0.27;22234.96;0.57;22445.13;1.52;22772.21;3.0;22698.86;2.66
2023-02-15 08:00:00;22094.02;SOBE_2.0;22170.51;0.35;22234.96;0.64;22445.13;1.59;22772.21;3.07;22698.86;2.74;22684.47;2.67
2023-02-15 09:00:00;22170.51;SOBE_2.0;22234.96;0.29;22445.13;1.24;22772.21;2.71;22698.86;2.38;22684.47;2.32;22809.46;2.88
2023-02-15 10:00:00;22234.96;SOBE_2.0;22445.13;0.95;22772.21;2.42;22698.86;2.09;22684.47;2.02;22809.46;2.58;22763.1;2.38
